ACACIA_BOAT	Acacia Boat	Bateau en acacia
BAMBOO_FENCE_GATE	Bamboo Fence Gate	Portillon en bambou
BAMBOO_HANGING_SIGN	Bamboo Hanging Sign	Pancarte suspendue en bambou
BAMBOO_MOSAIC	Bamboo Mosaic	Mosaïque de bambou
BAMBOO_MOSAIC_SLAB	Bamboo Mosaic Slab	Dalle de mosaïque de bambou
BAMBOO_MOSAIC_STAIRS	Bamboo Mosaic Stairs	Escalier en mosaïque de bambou
BAMBOO_PLANKS	Bamboo Planks	Planches de bambou
BAMBOO_PRESSURE_PLATE	Bamboo Pressure Plate	Plaque de pression en bambou
BAMBOO_RAFT	Bamboo Raft	Radeau en bambou
BAMBOO_SAPLING	Bamboo Shoot	Pousse de bambou
BAMBOO_SHELF	Bamboo Shelf	Étagère en bambou
BAMBOO_SIGN	Bamboo Sign	Pancarte en bambou
BAMBOO_SLAB	Bamboo Slab	Dalle en bambou
BAMBOO_STAIRS	Bamboo Stairs	Escalier en bambou
BAMBOO_TRAPDOOR	Bamboo Trapdoor	Trappe en bambou
BAMBOO_WALL_HANGING_SIGN	Bamboo Wall Hanging Sign	Pancarte suspendue en bambou murale
BAMBOO_WALL_SIGN	Bamboo Wall Sign	Pancarte en bambou murale
BARREL	Barrel	Tonneau
BARRIER	Barrier	Barrière invisible
BASALT	Basalt	Basalte
BAT_SPAWN_EGG	Bat Spawn Egg	Oeuf d'apparition de chauve-souris
BEACON	Beacon	Balise
BEDROCK	Bedrock	Bedrock
BEEF	Raw Beef	Boeuf cru
BEEHIVE	Beehive	Ruche
BEETROOT	Beetroot	Betterave
BEETROOTS	Beetroots	Betteraves
BEETROOT_SEEDS	Beetroot Seeds	Graines de betterave
BEETROOT_SOUP	Beetroot Soup	Soupe de betteraves
BEE_NEST	Bee Nest	Nid d'abeilles
BEE_SPAWN_EGG	Bee Spawn Egg	Oeuf d'apparition d'abeille
BELL	Bell	Cloche
BIG_DRIPLEAF	Big Dripleaf	Grande foliogoutte
BIG_DRIPLEAF_STEM	Big Dripleaf Stem	Tige de grande foliogoutte
BIRCH_BOAT	Birch Boat	Bateau en bouleau
BIRCH_BUTTON	Birch Button	Bouton en bouleau
BIRCH_CHEST_BOAT	Birch Boat with Chest	Bateau de stockage en bouleau
BIRCH_DOOR	Birch Door	Porte en bouleau
BIRCH_FENCE	Birch Fence	Barrière en bouleau
BIRCH_FENCE_GATE	Birch Fence Gate	Portillon en bouleau
BIRCH_HANGING_SIGN	Birch Hanging Sign	Pancarte suspendue en bouleau
BIRCH_LEAVES	Birch Leaves	Feuilles de bouleau
BIRCH_LOG	Birch Log	Bûche de bouleau
BIRCH_PLANKS	Birch Planks	Planches de bouleau
BIRCH_PRESSURE_PLATE	Birch Pressure Plate	Plaque de pression en bouleau
BIRCH_SAPLING	Birch Sapling	Pousse de bouleau
BIRCH_SHELF	Birch Shelf	Étagère en bouleau
BIRCH_SIGN	Birch Sign	Pancarte en bouleau
BIRCH_SLAB	Birch Slab	Dalle en bouleau
BIRCH_STAIRS	Birch Stairs	Escalier en bouleau
BIRCH_TRAPDOOR	Birch Trapdoor	Trappe en bouleau
BIRCH_WALL_HANGING_SIGN	Birch Wall Hanging Sign	Pancarte suspendue en bouleau murale
BIRCH_WALL_SIGN	Birch Wall Sign	Pancarte en bouleau murale
BIRCH_WOOD	Birch Wood	Bois de bouleau
BLACKSTONE	Blackstone	Roche noire
BLACKSTONE_SLAB	Blackstone Slab	Dalle de roche noire
BLACKSTONE_STAIRS	Blackstone Stairs	Escalier en roche noire
BLACKSTONE_WALL	Blackstone Wall	Muret de roche noire
BLACK_BANNER	Black Banner	Bannière noire
BLACK_BED	Black Bed	Lit noir
BLACK_BUNDLE	Black Bundle	Sac noir
BLACK_CANDLE	Black Candle	Bougie noire
BLACK_CANDLE_CAKE	Cake with Black Candle	Gâteau à bougie noire
BLACK_CARPET	Black Carpet	Tapis noir
BLACK_CONCRETE	Black Concrete	Béton noir
BLACK_CONCRETE_POWDER	Black Concrete Powder	Béton noir en poudre
BLACK_DYE	Black Dye	Teinture noire
BLACK_GLAZED_TERRACOTTA	Black Glazed Terracotta	Terre cuite émaillée noire
BLACK_HARNESS	Black Harness	Harnais noir
BLACK_SHULKER_BOX	Black Shulker Box	Boîte de Shulker noire
BLACK_STAINED_GLASS	Black Stained Glass	Verre noir
BLACK_STAINED_GLASS_PANE	Black Stained Glass Pane	Vitre noire
BLACK_TERRACOTTA	Black Terracotta	Terre cuite noire
BLACK_WOOL	Black Wool	Laine noire
BLADE_POTTERY_SHERD	Blade Pottery Sherd	Tesson de poterie de lame
BLAST_FURNACE	Blast Furnace	Haut fourneau
BLAZE_POWDER	Blaze Powder	Poudre de Blaze
BLAZE_ROD	Blaze Rod	Bâton de Blaze
BLAZE_SPAWN_EGG	Blaze Spawn Egg	Oeuf d'apparition de Blaze
BLUE_BANNER	Blue Banner	Bannière bleue
BLUE_BED	Blue Bed	Lit bleu
BLUE_BUNDLE	Blue Bundle	Sac bleu
BLUE_CANDLE	Blue Candle	Bougie bleue
BLUE_CANDLE_CAKE	Cake with Blue Candle	Gâteau à bougie bleue
BLUE_CARPET	Blue Carpet	Tapis bleu
BLUE_CONCRETE	Blue Concrete	Béton bleu
BLUE_CONCRETE_POWDER	Blue Concrete Powder	Béton bleu en poudre
BLUE_DYE	Blue Dye	Teinture bleue
BLUE_EGG	Blue Egg	Oeuf bleu
BLUE_GLAZED_TERRACOTTA	Blue Glazed Terracotta	Terre cuite émaillée bleue
BLUE_HARNESS	Blue Harness	Harnais bleu
BLUE_ICE	Blue Ice	Glace bleue
BLUE_ORCHID	Blue Orchid	Orchidée bleue
BLUE_SHULKER_BOX	Blue Shulker Box	Boîte de Shulker bleue
BLUE_STAINED_GLASS	Blue Stained Glass	Verre bleu
BLUE_STAINED_GLASS_PANE	Blue Stained Glass Pane	Vitre bleue
BLUE_TERRACOTTA	Blue Terracotta	Terre cuite bleue
BLUE_WOOL	Blue Wool	Laine bleue
BOGGED_SPAWN_EGG	Bogged Spawn Egg	Oeuf d'apparition d'embourbé
BOLT_ARMOR_TRIM_SMITHING_TEMPLATE	Smithing Template	Modèle de forge
BONE	Bone	Os
BONE_BLOCK	Bone Block	Bloc d'os
BONE_MEAL	Bone Meal	Poudre d'os
BOOK	Book	Livre
BOOKSHELF	Bookshelf	Bibliothèque
BORDURE_INDENTED_BANNER_PATTERN	Bordure Indented Banner Pattern	Motif de bordure cannelée pour bannière
BOW	Bow	Arc
BOWL	Bowl	Bol
BRAIN_CORAL	Brain Coral	Corail cerveau
BRAIN_CORAL_BLOCK	Brain Coral Block	Bloc de corail cerveau
BRAIN_CORAL_FAN	Brain Coral Fan	Gorgone de corail cerveau
BRAIN_CORAL_WALL_FAN	Brain Coral Wall Fan	Gorgone de corail cerveau murale
BREAD	Bread	Pain
BREEZE_ROD	Breeze Rod	Bâton de Breeze
BREEZE_SPAWN_EGG	Breeze Spawn Egg	Oeuf d'apparition de Breeze
BREWER_POTTERY_SHERD	Brewer Pottery Sherd	Tesson de poterie d'alchimiste
BREWING_STAND	Brewing Stand	Alambic
BRICK	Brick	Brique
BRICKS	Bricks	Briques
BRICK_SLAB	Brick Slab	Dalle de briques
BRICK_STAIRS	Brick Stairs	Escalier en briques
BRICK_WALL	Brick Wall	Muret de briques
BROWN_BANNER	Brown Banner	Bannière marron
BROWN_BED	Brown Bed	Lit marron
BROWN_BUNDLE	Brown Bundle	Sac marron
BROWN_CANDLE	Brown Candle	Bougie marron
BROWN_CANDLE_CAKE	Cake with Brown Candle	Gâteau à bougie marron
BROWN_CARPET	Brown Carpet	Tapis marron
BROWN_CONCRETE	Brown Concrete	Béton marron
BROWN_CONCRETE_POWDER	Brown Concrete Powder	Béton marron en poudre
BROWN_DYE	Brown Dye	Teinture marron
BROWN_EGG	Brown Egg	Oeuf brun
BROWN_GLAZED_TERRACOTTA	Brown Glazed Terracotta	Terre cuite émaillée marron
BROWN_HARNESS	Brown Harness	Harnais marron
BROWN_MUSHROOM	Brown Mushroom	Champignon brun
BROWN_MUSHROOM_BLOCK	Brown Mushroom Block	Bloc de champignon brun
BROWN_SHULKER_BOX	Brown Shulker Box	Boîte de Shulker marron
BROWN_STAINED_GLASS	Brown Stained Glass	Verre marron
BROWN_STAINED_GLASS_PANE	Brown Stained Glass Pane	Vitre marron
BROWN_TERRACOTTA	Brown Terracotta	Terre cuite marron
BROWN_WOOL	Brown Wool	Laine marron
BRUSH	Brush	Pinceau
BUBBLE_COLUMN	Bubble Column	Colonne de bulles
BUBBLE_CORAL	Bubble Coral	Corail bulles
BUBBLE_CORAL_BLOCK	Bubble Coral Block	Bloc de corail bulles
BUBBLE_CORAL_FAN	Bubble Coral Fan	Gorgone de corail bulles
BUBBLE_CORAL_WALL_FAN	Bubble Coral Wall Fan	Gorgone de corail bulles murale
BUCKET	Bucket	Seau
BUDDING_AMETHYST	Budding Amethyst	Druse d'améthyste
BUNDLE	Bundle	Sac
BURN_POTTERY_SHERD	Burn Pottery Sherd	Tesson de poterie de feu
BUSH	Bush	Buisson
CACTUS	Cactus	Cactus
CACTUS_FLOWER	Cactus Flower	Fleur de cactus
CAKE	Cake	Gâteau
CALCITE	Calcite	Calcite
CALIBRATED_SCULK_SENSOR	Calibrated Sculk Sensor	Capteur sculk calibré
CAMEL_HUSK_SPAWN_EGG	Camel Husk Spawn Egg	Oeuf d'apparition de dromadaire momifié
CAMEL_SPAWN_EGG	Camel Spawn Egg	Oeuf d'apparition de dromadaire
CAMPFIRE	Campfire	Feu de camp
CANDLE	Candle	Bougie
CANDLE_CAKE	Cake with Candle	Gâteau à bougie
CARROT	Carrot	Carotte
CARROTS	Carrots	Carottes
CARROT_ON_A_STICK	Carrot on a Stick	Carotte sur un bâton
CARTOGRAPHY_TABLE	Cartography Table	Table de cartographie
CARVED_PUMPKIN	Carved Pumpkin	Citrouille sculptée
CAT_SPAWN_EGG	Cat Spawn Egg	Oeuf d'apparition de chat
CAULDRON	Cauldron	Chaudron
CAVE_AIR	Cave Air	Air de caverne
CAVE_SPIDER_SPAWN_EGG	Cave Spider Spawn Egg	Oeuf d'apparition d'araignée venimeuse
CAVE_VINES	Cave Vines	Lianes des cavernes
CAVE_VINES_PLANT	Cave Vines Plant	Plante de lianes des cavernes
CHAINMAIL_BOOTS	Chainmail Boots	Bottes de mailles
CHAINMAIL_CHESTPLATE	Chainmail Chestplate	Cotte de mailles
CHAINMAIL_HELMET	Chainmail Helmet	Casque de mailles
CHAINMAIL_LEGGINGS	Chainmail Leggings	Jambières de mailles
CHAIN_COMMAND_BLOCK	Chain Command Block	Bloc de commande en chaîne
CHARCOAL	Charcoal	Charbon de bois
CHERRY_BOAT	Cherry Boat	Bateau en cerisier
CHERRY_BUTTON	Cherry Button	Bouton en cerisier
CHERRY_CHEST_BOAT	Cherry Boat with Chest	Bateau de stockage en cerisier
CHERRY_DOOR	Cherry Door	Porte en cerisier
CHERRY_FENCE	Cherry Fence	Barrière en cerisier
CHERRY_FENCE_GATE	Cherry Fence Gate	Portillon en cerisier
CHERRY_HANGING_SIGN	Cherry Hanging Sign	Pancarte suspendue en cerisier
CHERRY_LEAVES	Cherry Leaves	Feuilles de cerisier
CHERRY_LOG	Cherry Log	Bûche de cerisier
CHERRY_PLANKS	Cherry Planks	Planches de cerisier
CHERRY_PRESSURE_PLATE	Cherry Pressure Plate	Plaque de pression en cerisier
CHERRY_SAPLING	Cherry Sapling	Pousse de cerisier
CHERRY_SHELF	Cherry Shelf	Étagère en cerisier
CHERRY_SIGN	Cherry Sign	Pancarte en cerisier
CHERRY_SLAB	Cherry Slab	Dalle en cerisier
CHERRY_STAIRS	Cherry Stairs	Escalier en cerisier
CHERRY_TRAPDOOR	Cherry Trapdoor	Trappe en cerisier
CHERRY_WALL_HANGING_SIGN	Cherry Wall Hanging Sign	Pancarte suspendue en cerisier murale
CHERRY_WALL_SIGN	Cherry Wall Sign	Pancarte en cerisier murale
CHERRY_WOOD	Cherry Wood	Bois de cerisier
CHEST	Chest	Coffre
CHEST_MINECART	Minecart with Chest	Wagonnet de stockage
CHICKEN	Raw Chicken	Poulet cru
CHICKEN_SPAWN_EGG	Chicken Spawn Egg	Oeuf d'apparition de poule
CHIPPED_ANVIL	Chipped Anvil	Enclume ébréchée
CHISELED_BOOKSHELF	Chiseled Bookshelf	Bibliothèque sculptée
CHISELED_CINNABAR	Chiseled Cinnabar	Cinabre cisele
CHISELED_COPPER	Chiseled Copper	Cuivre sculpté
CHISELED_DEEPSLATE	Chiseled Deepslate	Ardoise des abîmes sculptée
CHISELED_NETHER_BRICKS	Chiseled Nether Bricks	Briques du Nether sculptées
CHISELED_POLISHED_BLACKSTONE	Chiseled Polished Blackstone	Pierre noire sculptée
CHISELED_QUARTZ_BLOCK	Chiseled Quartz Block	Bloc de quartz sculpté
CHISELED_RED_SANDSTONE	Chiseled Red Sandstone	Grès rouge sculpté
CHISELED_RESIN_BRICKS	Chiseled Resin Bricks	Briques de résine sculptées
CHISELED_SANDSTONE	Chiseled Sandstone	Grès sculpté
CHISELED_STONE_BRICKS	Chiseled Stone Bricks	Pierre sculptée
CHISELED_TUFF	Chiseled Tuff	Tuf sculpté
CHISELED_TUFF_BRICKS	Chiseled Tuff Bricks	Tuf taillé sculpté
CHORUS_FLOWER	Chorus Flower	Fleur de chorus
CHORUS_FRUIT	Chorus Fruit	Chorus
CHORUS_PLANT	Chorus Plant	Plante de chorus
CINNABAR	Cinnabar	Cinabre
CINNABAR_BRICKS	Cinnabar Bricks	Briques de cinabre
CINNABAR_BRICK_SLAB	Cinnabar Brick Slab	Dalle en briques de cinabre
CINNABAR_BRICK_STAIRS	Cinnabar Brick Stairs	Escalier en briques de cinabre
CINNABAR_BRICK_WALL	Cinnabar Brick Wall	Muret en briques de cinabre
CINNABAR_SLAB	Cinnabar Slab	Dalle de cinabre
CINNABAR_STAIRS	Cinnabar Stairs	Escalier de cinabre
CINNABAR_WALL	Cinnabar Wall	Muret de cinabre
CLAY	Clay	Argile
CLAY_BALL	Clay Ball	Motte d'argile
CLOCK	Clock	Montre
CLOSED_EYEBLOSSOM	Closed Eyeblossom	Oeilchidée fermée
COAL	Coal	Charbon
COAL_BLOCK	Block of Coal	Bloc de charbon
COAL_ORE	Coal Ore	Minerai de charbon
COARSE_DIRT	Coarse Dirt	Terre stérile
COAST_ARMOR_TRIM_SMITHING_TEMPLATE	Smithing Template	Modèle de forge
COBBLED_DEEPSLATE	Cobbled Deepslate	Pierres des abîmes
COBBLED_DEEPSLATE_SLAB	Cobbled Deepslate Slab	Dalle de pierres des abîmes
COBBLED_DEEPSLATE_STAIRS	Cobbled Deepslate Stairs	Escalier en pierres des abîmes
COBBLED_DEEPSLATE_WALL	Cobbled Deepslate Wall	Muret de pierres des abîmes
COBBLESTONE	Cobblestone	Pierres
COBBLESTONE_SLAB	Cobblestone Slab	Dalle de pierres
COBBLESTONE_STAIRS	Cobblestone Stairs	Escalier en pierre
COBBLESTONE_WALL	Cobblestone Wall	Muret de pierres
COBWEB	Cobweb	Toile d'araignée
COCOA	Cocoa	Cacao
COCOA_BEANS	Cocoa Beans	Fèves de cacao
COD	Raw Cod	Morue crue
COD_BUCKET	Bucket of Cod	Morue dans un seau
COD_SPAWN_EGG	Cod Spawn Egg	Oeuf d'apparition de morue
COMMAND_BLOCK	Command Block	Bloc de commande
COMMAND_BLOCK_MINECART	Minecart with Command Block	Wagonnet à bloc de commande
COMPARATOR	Redstone Comparator	Comparateur de redstone
COMPASS	Compass	Boussole
COMPOSTER	Composter	Composteur
CONDUIT	Conduit	Conduit
COOKED_BEEF	Steak	Steak
COOKED_CHICKEN	Cooked Chicken	Poulet rôti
COOKED_COD	Cooked Cod	Morue cuite
COOKED_MUTTON	Cooked Mutton	Mouton cuit
COOKED_PORKCHOP	Cooked Porkchop	Côtelette de porc cuite
COOKED_RABBIT	Cooked Rabbit	Lapin cuit
COOKED_SALMON	Cooked Salmon	Saumon cuit
COOKIE	Cookie	Cookie
COPPER_AXE	Copper Axe	Hache en cuivre
COPPER_BARS	Copper Bars	Barreaux de cuivre
COPPER_BLOCK	Block of Copper	Bloc de cuivre
COPPER_BOOTS	Copper Boots	Bottes en cuivre
COPPER_BULB	Copper Bulb	Ampoule en cuivre
COPPER_CHAIN	Copper Chain	Chaîne en cuivre
COPPER_CHEST	Copper Chest	Coffre en cuivre
COPPER_CHESTPLATE	Copper Chestplate	Plastron en cuivre
COPPER_DOOR	Copper Door	Porte en cuivre
COPPER_GOLEM_SPAWN_EGG	Copper Golem Spawn Egg	Oeuf d'apparition de golem de cuivre
COPPER_GOLEM_STATUE	Copper Golem Statue	Statue de golem de cuivre
COPPER_GRATE	Copper Grate	Grille en cuivre
COPPER_HELMET	Copper Helmet	Casque en cuivre
COPPER_HOE	Copper Hoe	Houe en cuivre
COPPER_HORSE_ARMOR	Copper Horse Armor	Armure en cuivre pour cheval
COPPER_INGOT	Copper Ingot	Lingot de cuivre
COPPER_LANTERN	Copper Lantern	Lanterne en cuivre
COPPER_LEGGINGS	Copper Leggings	Jambières en cuivre
COPPER_NAUTILUS_ARMOR	Copper Nautilus Armor	Armure en cuivre pour nautile
COPPER_NUGGET	Copper Nugget	Pépite de cuivre
COPPER_ORE	Copper Ore	Minerai de cuivre
COPPER_PICKAXE	Copper Pickaxe	Pioche en cuivre
COPPER_SHOVEL	Copper Shovel	Pelle en cuivre
COPPER_SPEAR	Copper Spear	Lance en cuivre
COPPER_SWORD	Copper Sword	Épée en cuivre
COPPER_TORCH	Copper Torch	Torche de cuivre
COPPER_TRAPDOOR	Copper Trapdoor	Trappe en cuivre
COPPER_WALL_TORCH	Copper Wall Torch	Torche de cuivre murale
CORNFLOWER	Cornflower	Bleuet
COW_SPAWN_EGG	Cow Spawn Egg	Oeuf d'apparition de vache
CRACKED_DEEPSLATE_BRICKS	Cracked Deepslate Bricks	Ardoise des abîmes taillée craquelée
CRACKED_DEEPSLATE_TILES	Cracked Deepslate Tiles	Ardoise des abîmes carrelée craquelée
CRACKED_NETHER_BRICKS	Cracked Nether Bricks	Briques du Nether craquelées
CRACKED_POLISHED_BLACKSTONE_BRICKS	Cracked Polished Blackstone Bricks	Pierre noire taillée craquelée
CRACKED_STONE_BRICKS	Cracked Stone Bricks	Pierre taillée craquelée
CRAFTER	Crafter	Fabricateur
CRAFTING_TABLE	Crafting Table	Établi
CREAKING_HEART	Creaking Heart	Coeur de grinceur
CREAKING_SPAWN_EGG	Creaking Spawn Egg	Oeuf d'apparition de grinceur
CREEPER_BANNER_PATTERN	Banner Pattern	Motif de bannière
CREEPER_HEAD	Creeper Head	Tête de Creeper
CREEPER_SPAWN_EGG	Creeper Spawn Egg	Oeuf d'apparition de Creeper
CREEPER_WALL_HEAD	Creeper Wall Head	Tête de Creeper murale
CRIMSON_BUTTON	Crimson Button	Bouton carmin
CRIMSON_DOOR	Crimson Door	Porte carmin
CRIMSON_FENCE	Crimson Fence	Barrière carmin
CRIMSON_FENCE_GATE	Crimson Fence Gate	Portillon carmin
CRIMSON_FUNGUS	Crimson Fungus	Champignon carmin
CRIMSON_HANGING_SIGN	Crimson Hanging Sign	Pancarte suspendue carmin
CRIMSON_HYPHAE	Crimson Hyphae	Hyphes carmin
CRIMSON_NYLIUM	Crimson Nylium	Nylium carmin
CRIMSON_PLANKS	Crimson Planks	Planches carmin
CRIMSON_PRESSURE_PLATE	Crimson Pressure Plate	Plaque de pression carmin
CRIMSON_ROOTS	Crimson Roots	Racines carmin
CRIMSON_SHELF	Crimson Shelf	Étagère carmin
CRIMSON_SIGN	Crimson Sign	Pancarte carmin
CRIMSON_SLAB	Crimson Slab	Dalle carmin
CRIMSON_STAIRS	Crimson Stairs	Escalier carmin
CRIMSON_STEM	Crimson Stem	Tige carmin
CRIMSON_TRAPDOOR	Crimson Trapdoor	Trappe carmin
CRIMSON_WALL_HANGING_SIGN	Crimson Wall Hanging Sign	Pancarte suspendue carmin murale
CRIMSON_WALL_SIGN	Crimson Wall Sign	Pancarte carmin murale
CROSSBOW	Crossbow	Arbalète
CRYING_OBSIDIAN	Crying Obsidian	Obsidienne pleureuse
CUT_COPPER	Cut Copper	Cuivre taillé
CUT_COPPER_SLAB	Cut Copper Slab	Dalle de cuivre taillé
CUT_COPPER_STAIRS	Cut Copper Stairs	Escalier en cuivre taillé
CUT_RED_SANDSTONE	Cut Red Sandstone	Grès rouge taillé
CUT_RED_SANDSTONE_SLAB	Cut Red Sandstone Slab	Dalle de grès rouge taillé
CUT_SANDSTONE	Cut Sandstone	Grès taillé
CUT_SANDSTONE_SLAB	Cut Sandstone Slab	Dalle de grès taillé
CYAN_BANNER	Cyan Banner	Bannière cyan
CYAN_BED	Cyan Bed	Lit cyan
CYAN_BUNDLE	Cyan Bundle	Sac cyan
CYAN_CANDLE	Cyan Candle	Bougie cyan
CYAN_CANDLE_CAKE	Cake with Cyan Candle	Gâteau à bougie cyan
CYAN_CARPET	Cyan Carpet	Tapis cyan
CYAN_CONCRETE	Cyan Concrete	Béton cyan
CYAN_CONCRETE_POWDER	Cyan Concrete Powder	Béton cyan en poudre
CYAN_DYE	Cyan Dye	Teinture cyan
CYAN_GLAZED_TERRACOTTA	Cyan Glazed Terracotta	Terre cuite émaillée cyan
CYAN_HARNESS	Cyan Harness	Harnais cyan
CYAN_SHULKER_BOX	Cyan Shulker Box	Boîte de Shulker cyan
CYAN_STAINED_GLASS	Cyan Stained Glass	Verre cyan
CYAN_STAINED_GLASS_PANE	Cyan Stained Glass Pane	Vitre cyan
CYAN_TERRACOTTA	Cyan Terracotta	Terre cuite cyan
CYAN_WOOL	Cyan Wool	Laine cyan
DAMAGED_ANVIL	Damaged Anvil	Enclume endommagée
DANDELION	Dandelion	Pissenlit
DANGER_POTTERY_SHERD	Danger Pottery Sherd	Tesson de poterie de danger
DARK_OAK_BOAT	Dark Oak Boat	Bateau en chêne noir
DARK_OAK_BUTTON	Dark Oak Button	Bouton en chêne noir
DARK_OAK_CHEST_BOAT	Dark Oak Boat with Chest	Bateau de stockage en chêne noir
DARK_OAK_DOOR	Dark Oak Door	Porte en chêne noir
DARK_OAK_FENCE	Dark Oak Fence	Barrière en chêne noir
DARK_OAK_FENCE_GATE	Dark Oak Fence Gate	Portillon en chêne noir
DARK_OAK_HANGING_SIGN	Dark Oak Hanging Sign	Pancarte suspendue en chêne noir
DARK_OAK_LEAVES	Dark Oak Leaves	Feuilles de chêne noir
DARK_OAK_LOG	Dark Oak Log	Bûche de chêne noir
DARK_OAK_PLANKS	Dark Oak Planks	Planches de chêne noir
DARK_OAK_PRESSURE_PLATE	Dark Oak Pressure Plate	Plaque de pression en chêne noir
DARK_OAK_SAPLING	Dark Oak Sapling	Pousse de chêne noir
DARK_OAK_SHELF	Dark Oak Shelf	Étagère en chêne noir
DARK_OAK_SIGN	Dark Oak Sign	Pancarte en chêne noir
DARK_OAK_SLAB	Dark Oak Slab	Dalle en chêne noir
DARK_OAK_STAIRS	Dark Oak Stairs	Escalier en chêne noir
DARK_OAK_TRAPDOOR	Dark Oak Trapdoor	Trappe en chêne noir
DARK_OAK_WALL_HANGING_SIGN	Dark Oak Wall Hanging Sign	Pancarte suspendue en chêne noir murale
DARK_OAK_WALL_SIGN	Dark Oak Wall Sign	Pancarte en chêne noir murale
DARK_OAK_WOOD	Dark Oak Wood	Bois de chêne noir
DARK_PRISMARINE	Dark Prismarine	Prismarine sombre
DARK_PRISMARINE_SLAB	Dark Prismarine Slab	Dalle de prismarine sombre
DARK_PRISMARINE_STAIRS	Dark Prismarine Stairs	Escalier en prismarine sombre
DAYLIGHT_DETECTOR	Daylight Detector	Capteur de lumière
DEAD_BRAIN_CORAL	Dead Brain Coral	Corail cerveau mort
DEAD_BRAIN_CORAL_BLOCK	Dead Brain Coral Block	Bloc de corail cerveau mort
DEAD_BRAIN_CORAL_FAN	Dead Brain Coral Fan	Gorgone de corail cerveau morte
DEAD_BRAIN_CORAL_WALL_FAN	Dead Brain Coral Wall Fan	Gorgone de corail cerveau morte murale
DEAD_BUBBLE_CORAL	Dead Bubble Coral	Corail bulles mort
DEAD_BUBBLE_CORAL_BLOCK	Dead Bubble Coral Block	Bloc de corail bulles mort
DEAD_BUBBLE_CORAL_FAN	Dead Bubble Coral Fan	Gorgone de corail bulles morte
